episode,score,total_reward,epsilon
397.0,1.0,-1.5999999999999979,0.45257894924714065
398.0,3.0,18.099999999999984,0.4516737913486464
399.0,4.0,27.39999999999999,0.4507704437659491
400.0,0.0,-10.4,0.4498689028784172
401.0,2.0,8.400000000000006,0.4489691650726603
402.0,1.0,-0.3000000000000007,0.448071226742515
403.0,3.0,16.299999999999976,0.44717508428902997
404.0,2.0,7.199999999999967,0.4462807341204519
405.0,1.0,-0.8999999999999986,0.445388172652211
406.0,2.0,9.3,0.44449739630690654
407.0,1.0,-0.40000000000000036,0.4436084015142927
408.0,1.0,-0.29999999999999893,0.4427211847112641
409.0,1.0,-1.999999999999993,0.4418357423418416
410.0,1.0,-0.3000000000000007,0.44095207085715793
411.0,9.0,76.6,0.44007016671544363
412.0,2.0,8.999999999999996,0.43919002638201277
413.0,3.0,18.89999999999999,0.43831164632924874
414.0,2.0,9.600000000000001,0.43743502303659026
415.0,0.0,-10.5,0.4365601529905171
416.0,2.0,8.799999999999997,0.43568703268453607
417.0,4.0,27.700000000000003,0.434815658619167
418.0,0.0,-10.4,0.43394602730192866
419.0,2.0,8.700000000000003,0.4330781352473248
420.0,1.0,-0.9999999999999982,0.43221197897683017
421.0,2.0,8.899999999999995,0.4313475550188765
422.0,1.0,-0.1999999999999993,0.4304848599088387
423.0,0.0,-10.9,0.42962389018902103
424.0,4.0,28.29999999999999,0.428764642408643
425.0,5.0,38.499999999999986,0.4279071131238257
426.0,4.0,27.299999999999983,0.42705129889757804
427.0,1.0,-0.4999999999999982,0.42619719629978287
428.0,1.0,-0.8999999999999986,0.4253448019071833
429.0,2.0,7.1000000000000085,0.424494112303369
430.0,3.0,17.89999999999999,0.42364512407876226
431.0,2.0,9.099999999999998,0.4227978338306047
432.0,2.0,9.000000000000004,0.42195223816294347
433.0,1.0,-0.9000000000000004,0.4211083336866176
434.0,0.0,-10.7,0.4202661170192444
435.0,6.0,47.49999999999999,0.41942558478520586
436.0,2.0,6.399999999999984,0.4185867336156355
437.0,2.0,9.0,0.4177495601484042
438.0,3.0,18.89999999999999,0.4169140610281074
439.0,3.0,19.4,0.4160802329060512
440.0,0.0,-11.1,0.4152480724402391
441.0,0.0,-10.5,0.41441757629535864
442.0,2.0,9.0,0.4135887411427679
443.0,3.0,19.1,0.41276156366048233
444.0,2.0,8.900000000000002,0.41193604053316135
445.0,0.0,-11.6,0.41111216845209503
446.0,3.0,16.599999999999987,0.4102899441151908
447.0,1.0,-1.0999999999999979,0.40946936422696045
448.0,3.0,18.999999999999993,0.40865042549850655
449.0,1.0,-1.9999999999999947,0.40783312464750954
450.0,2.0,8.699999999999989,0.4070174583982145
451.0,2.0,9.200000000000003,0.4062034234814181
452.0,0.0,-10.3,0.40539101663445526
453.0,3.0,17.79999999999999,0.40458023460118636
454.0,1.0,-0.8999999999999986,0.403771074131984
455.0,2.0,7.79999999999999,0.40296353198372004
456.0,3.0,17.599999999999987,0.4021576049197526
457.0,4.0,27.099999999999966,0.40135328970991313
458.0,7.0,57.10000000000002,0.4005505831304933
459.0,3.0,18.69999999999999,0.3997494819642323
460.0,1.0,-0.5,0.3989499830003039
461.0,3.0,19.09999999999999,0.3981520830343033
462.0,0.0,-10.4,0.39735577886823464
463.0,0.0,-10.4,0.39656106731049817
464.0,1.0,-0.3999999999999986,0.39576794517587716
465.0,1.0,-1.799999999999999,0.3949764092855254
466.0,1.0,-1.2999999999999954,0.3941864564669544
467.0,4.0,27.69999999999999,0.39339808355402045
468.0,2.0,9.000000000000004,0.3926112873869124
469.0,3.0,16.399999999999984,0.3918260648121386
470.0,2.0,9.000000000000004,0.39104241268251433
471.0,2.0,7.500000000000007,0.3902603278571493
472.0,1.0,-0.29999999999999893,0.389479807201435
473.0,1.0,-0.40000000000000036,0.3887008475870321
474.0,0.0,-10.7,0.38792344589185807
475.0,5.0,37.39999999999998,0.38714759900007434
476.0,3.0,17.999999999999986,0.3863733038020742
477.0,0.0,-10.9,0.38560055719447006
478.0,0.0,-10.3,0.3848293560800811
479.0,3.0,18.499999999999986,0.38405969736792095
480.0,2.0,9.199999999999996,0.3832915779731851
481.0,4.0,28.19999999999999,0.38252499481723873
482.0,1.0,-0.1999999999999993,0.3817599448276042
483.0,1.0,-0.29999999999999893,0.380996424937949
484.0,2.0,9.299999999999997,0.3802344320880731
485.0,1.0,-0.5999999999999979,0.379473963223897
486.0,6.0,48.699999999999996,0.37871501529744916
487.0,2.0,9.7,0.37795758526685425
488.0,2.0,9.200000000000003,0.37720167009632055
489.0,1.0,-1.899999999999995,0.3764472667561279
490.0,3.0,18.89999999999999,0.37569437222261565
491.0,1.0,-1.2999999999999972,0.3749429834781704
492.0,3.0,17.700000000000003,0.37419309751121405
493.0,5.0,38.199999999999996,0.3734447113161916
494.0,4.0,26.499999999999964,0.3726978218935592
495.0,0.0,-10.5,0.3719524262497721
496.0,6.0,47.59999999999998,0.37120852139727256
497.0,3.0,17.9,0.370466104354478
498.0,5.0,37.699999999999974,0.36972517214576905
499.0,2.0,8.900000000000006,0.36898572180147754
500.0,3.0,18.599999999999994,0.3682477503578746
501.0,0.0,-10.8,0.36751125485715885
502.0,2.0,7.70000000000001,0.36677623234744455
503.0,1.0,-0.7999999999999989,0.3660426798827497
504.0,3.0,17.899999999999977,0.3653105945229842
505.0,2.0,9.099999999999994,0.3645799733339382
506.0,4.0,28.199999999999974,0.3638508133872703
507.0,2.0,9.5,0.3631231117604958
508.0,4.0,27.499999999999986,0.3623968655369748
509.0,2.0,8.999999999999996,0.3616720718059009
510.0,2.0,7.79999999999999,0.3609487276622891
511.0,1.0,-0.5999999999999996,0.3602268302069645
512.0,0.0,-10.5,0.35950637654655054
513.0,0.0,-10.3,0.35878736379345744
514.0,1.0,-0.3999999999999986,0.3580697890658705
515.0,1.0,-0.1999999999999993,0.35735364948773873
516.0,4.0,28.599999999999987,0.35663894218876324
517.0,4.0,28.099999999999987,0.3559256643043857
518.0,4.0,28.29999999999999,0.3552138129757769
519.0,4.0,27.399999999999977,0.35450338534982534
520.0,3.0,19.099999999999994,0.3537943785791257
521.0,2.0,8.8,0.35308678982196745
522.0,1.0,-0.1999999999999993,0.35238061624232353
523.0,1.0,-0.40000000000000036,0.3516758550098389
524.0,1.0,-0.29999999999999893,0.3509725032998192
525.0,2.0,8.899999999999991,0.35027055829321957
526.0,1.0,-0.8999999999999968,0.3495700171766331
527.0,1.0,-0.1999999999999993,0.3488708771422798
528.0,4.0,27.499999999999993,0.34817313538799527
529.0,2.0,8.599999999999994,0.3474767891172193
530.0,5.0,36.79999999999997,0.34678183553898484
531.0,2.0,8.099999999999977,0.34608827186790686
532.0,2.0,7.899999999999995,0.34539609532417104
533.0,7.0,55.599999999999966,0.3447053031335227
534.0,9.0,76.50000000000006,0.3440158925272557
535.0,1.0,-0.09999999999999964,0.3433278607422012
536.0,3.0,17.799999999999986,0.34264120502071677
537.0,9.0,76.40000000000003,0.3419559226106753
538.0,2.0,7.300000000000004,0.34127201076545394
539.0,0.0,-10.4,0.34058946674392304
540.0,1.0,-2.9999999999999964,0.3399082878104352
541.0,0.0,-10.3,0.3392284712348143
542.0,4.0,28.399999999999984,0.33855001429234466
543.0,3.0,18.7,0.33787291426376
544.0,4.0,28.099999999999987,0.33719716843523245
545.0,2.0,9.200000000000003,0.336522774098362
546.0,4.0,28.299999999999983,0.33584972855016526
547.0,5.0,37.099999999999966,0.33517802909306493
548.0,5.0,37.89999999999999,0.3345076730348788
549.0,5.0,37.49999999999998,0.33383865768880905
550.0,1.0,-0.5,0.3331709803734314
551.0,3.0,18.899999999999995,0.3325046384126845
552.0,3.0,18.69999999999999,0.3318396291358591
553.0,4.0,27.199999999999967,0.3311759498775874
554.0,3.0,19.499999999999993,0.33051359797783225
555.0,6.0,46.399999999999956,0.3298525707818766
556.0,3.0,18.1,0.3291928656403128
557.0,3.0,17.999999999999993,0.3285344799090322
558.0,1.0,-1.0999999999999996,0.32787741094921413
559.0,1.0,-0.4999999999999982,0.3272216561273157
560.0,2.0,8.5,0.32656721281506107
561.0,4.0,27.299999999999983,0.32591407838943093
562.0,5.0,36.09999999999996,0.32526225023265204
563.0,2.0,9.0,0.3246117257321867
564.0,4.0,27.099999999999987,0.3239625022807223
565.0,3.0,18.999999999999996,0.32331457727616086
566.0,4.0,29.099999999999994,0.32266794812160854
567.0,2.0,9.2,0.3220226122253653
568.0,7.0,54.59999999999994,0.3213785670009146
569.0,5.0,38.19999999999999,0.3207358098669128
570.0,6.0,47.799999999999976,0.320094338247179
571.0,2.0,8.999999999999993,0.31945414957068463
572.0,5.0,37.19999999999998,0.31881524127154326
573.0,2.0,9.499999999999996,0.3181776107890002
574.0,2.0,9.200000000000003,0.3175412555674222
575.0,1.0,-0.9000000000000004,0.3169061730562873
576.0,8.0,65.40000000000008,0.3162723607101747
577.0,1.0,-1.0,0.3156398159887544
578.0,3.0,18.699999999999996,0.3150085363567769
